scraper_name,url,source
CaisoLibraryScraper,https://www.caiso.com/library/interregional-transmission-coordination,test_file
WooddaleCityCouncilScraper,https://www.wooddale.com/government/agendas-minutes/city-council,test_file
AuroraGovScraper,https://www.perthamboynj.org/government/municipal_boards/planning_board/agendas_and_minutes,test_file
SecondHarmonySliqScraper,https://sg001-harmony.sliq.net/00289/Harmony/en/View/Week,test_file
RobstownCouncilScraper,https://www.cityofrobstown.com/city-council/city-council-agendas/,test_file
WestPalmBeachScraper,https://www.wpb.org/Departments/Development-Services/Planning-Division/Boards-and-Committees,test_file
BoardYearMeetingsScraper,https://www.towamencin.org/government/meetings-agendas-minutes/,docstring
ChathamSavannahMPCScraper,https://www.thempc.org/Archive/Tpc#gsc.tab=0,test_file
CityOfGardenGroveScraper,https://ggcity.org/commissions/archive,test_file
AgendaLinkAgendaScraper,https://horizon.agendalink.app/engage/broomfield/agendas,test_file
DocumentCenterAgendaMinutesScraper,https://hollyridgenc.org/DocumentCenter/Index/65,test_file
InternationalFallsScraper,https://www.ci.international-falls.mn.us/category/city-council/city-council-meeting-videos/,test_file
OnbaseAgendaOnlineScraper,https://onbaseep22.mesacounty.us/OnBaseAgendaOnline/Meetings,test_file
MisoEnergyPattern1Scraper,https://www.misoenergy.org/engage/committees/resource-adequacy-subcommittee/,test_file
UpperMacungieScraper,https://www.uppermac.org/boards-commissions/agendas-minutes/-folder-69#docfold_589_148_173_69,test_file
SouthJordanCityCouncilScraper,https://www.sjc.utah.gov/483/City-Council-Meeting-Audio,test_file
QueensburyAudioScraper,https://www.queensbury.net/government/agendas-and-minutes/planning-board-meeting-audio/,test_file
IsoNECommitteeScraper,https://www.iso-ne.com/committees/planning/ipsac,test_file
DocumentCenterAgendaMinutesScraper,https://www.bridgecitytex.com/DocumentCenter/Index/55,test_file
GovMeetingTableScraper,https://www.co.wabasha.mn.us/government/meetings/board_of_commissioners.php,test_file
ERCOTPresentationScraper,https://www.ercot.com/news/presentations,test_file
MunicodeMeetingScraper,https://clearlake-ca.municodemeetings.com/,test_file
SanDiegoScraper,https://www.sandiego.gov/planning-commission/documents/minutes/archive,test_file
FloridaPSCScraper,https://www.psc.state.fl.us/dockets,test_file
MountPleasantScraper,https://wwtmp.com/past_meetings/,test_file
BingenWashingtonScraper,https://www.bingenwashington.org/node/581/minutes-agendas,test_file
ClaytonCityCouncilScraper,https://claytonca.granicus.com/ViewPublisher.php?view_id=1,test_file
DocumentCenterScraper,https://www.sansompark.org/DocumentCenter/Index/69,test_file
FileproScraper,https://cavecreek.civicweb.net/filepro/documents/17508,test_file
DocumentCenterAgendaMinutesScraper,https://west-chester.com/DocumentCenter/Index/772,test_file
WashingtonDocketScraper,https://www.utc.wa.gov/documents-and-proceedings/dockets,test_file
SuiteOneMediaScraper,https://madisoncoin.suiteonemedia.com/?embed=1,test_file
BayonneNJScraper,https://www.bayonnenj.org/Pages/planning-board,test_file
CallahanCountyScraper,https://www.callahancounty.org/page/callahan.ccmeetings,test_file
SloSpanScraper,https://slo-span.org/meetings/ATASCC/,test_file
AuroraGovScraper,https://www.lowermoreland.org/government/boards___commissions/planning_commission,test_file
PlanningRctlmaPlanningCommissionScraper,https://planning.rctlma.org/2023-planning-commission-meetings,test_file
NewcastleOKScraper,https://newcastleok.gov/government/agendas-minutes/category/planning-zoning-commission,test_file
GroupTemplateScraper,https://www.oaklandca.gov/Government/Boards-Commissions/Planning-Commission/Planning-Commission-Committee-Meetings,test_file
MichiganHouseVideoArchiveScraper,https://www.house.mi.gov/VideoArchive,test_file
VimeoproScraper,https://vimeopro.com/user57828215/area-utility-meetings,docstring
IrvingTxScraper,https://irvingtx.gov/index.php?section=planning-zoning-commission,test_file
RiverRidgeCDDScraper,https://riverridgecdd.net/documents.php,test_file
DocumentCenterAgendaMinutesScraper,https://www.milltownnj.org/DocumentCenter,test_file
LaPscDocketScraper,https://lpscpubvalence.lpsc.louisiana.gov/,test_file
MisoEnergyBODScraper,https://www.misoenergy.org/engage/committees/board-of-directors-bod/,test_file
ElPortalVillageScraper,https://elportalvillage.com/village-meetings,test_file
DocumentCenterAgendaMinutesScraper,https://www.ci.quartzsite.az.us/government/town_council/agendas___minutes.php#outer-2571,test_file
BeckerCountyScraper,https://www.co.becker.mn.us/government/meetings/board_commissioners/,test_file
TownOfGarnerNCScraper,https://www.garnernc.gov/departments/planning/boards-commissions/planning-commission/minutes,test_file
CivicMediaScraper,https://www.co.isanti.mn.us/CivicMedia?CID=County-Board-Meeting-Minutes-3#allVideos,test_file
BakerMontanaAudioScraper,https://www.bakermontana.us/meeting-audio,test_file
IdahoMediaScraper,https://lso.legislature.idaho.gov/MediaArchive/ShowCommitteeOrMedia.do,test_file
QueensburyAudioScraper,https://www.queensbury.net/government/agendas-and-minutes/town-board-meeting-audio/,test_file
SouthwestRanchesScraper,https://www.southwestranches.org/departments/town-clerk/agendas/2025-2/,test_file
DocumentCenterAgendaMinutesScraper,https://www.bayharborislands-fl.gov/documentcenter,test_file
NewYorkDocketScraper,https://documents.dps.ny.gov/public/Common/AdvanceSearch.aspx,test_file
SussexScraper,https://www.sussexboro.com/meetings/index.shtml,test_file
IQM2Scraper,https://renvillecountymn.iqm2.com/Citizens/Calendar.aspx,test_file
ChampdsScraper,https://play.champds.com/largofl/archive/1,test_file
OrlandUSDScraper,https://www.orlandusd.net/Board/Agendas--Minutes/2025-2026/index.html,docstring
CivicWebScraper,https://coshawanowi.civicweb.net/Portal/MeetingTypeList.aspx,test_file
DestinyHostedScraper,https://public.destinyhosted.com/agenda_publish.cfm?id=46639,test_file
CaisoLibraryScraper,https://www.caiso.com/library/monthly-market-performance-reports,test_file
GuthrieSupervisorsScraper,https://guthriecounty.gov/supervisors/meetings_minutes/,docstring
SantaFeSpringsScraper,https://www.santafesprings.gov/city_council/city_council_commissions___committees/planning_commission/current_agendas_and_minutes2023.php,test_file
AlPscDocketScraper,https://www.pscpublicaccess.alabama.gov/pscpublicaccess/page/psc-searches/portal.aspx,test_file
EarthChannelScraper,https://view.earthchannel.com/Archive.aspx?PGD=meridenct&aID=1,test_file
LenoirCountyScraper,https://lenoircountync.gov/government/2024-board-of-commissioners-meetings/,test_file
OwatonnaLightcastScraper,https://owatonnalive.lightcast.com/content/sc_40142_7185,test_file
DocumentCenterScraper,https://west-chester.com/DocumentCenter/Index/772,test_file
MississippiDocketScraper,https://www.psc.ms.gov/exec-sec/dockets,test_file
GrantPUDScraper,https://www.grantpud.org/commission-meetings,docstring
PortWentworthScraper,https://portwentworthga.gov/gov-agendas-planning/,test_file
IsoNECommitteeScraper,https://www.iso-ne.com/committees/planning/energy-efficiency-forecast,test_file
DouglasCountyGA,https://www.douglascountyga.gov/292/Planning-Zoning-Board,test_file
NyisoScraper,https://www.nyiso.com/operating-committee-oc-,test_file
ChampdsScraper,https://play.champds.com/yonkersny/archive/2,test_file
CityOfNeodeshaScraper,http://neodesha.org/government/city-documents,test_file
ArizonaDocketScraper,https://edocket.azcc.gov/search/docket-search,test_file
MixlrScraper,https://cityofrocklin.mixlr.com/recordings,test_file
ChesterHeightsScraper,https://chesterheights.org/government/audio/,test_file
DocumentCenterScraper,https://cityofcockrellhill.us/DocumentCenter/Index/69,test_file
AlaskaLegislatureScraper,https://akleg.gov/#tab4,test_file
ForestHillTXScraper,https://www.foresthilltx.org/267/Previous-Years-Agendas-Minutes,test_file
HarrisonScraper,https://www.harrison-ny.gov/home/pages/agendas-minutes,test_file
YellowstoneCountyScraper,https://www.yellowstonecountymt.gov/commissioners/minutes/,test_file
FloridaSenateScraper,https://www.flsenate.gov/Media/Videos,test_file
IrvingTxScraper,https://irvingtx.gov/audit-finance-committee,test_file
OkemahOKScraper,https://okemahok.gov/city-hall/agenda-minutes/,test_file
FremontAgendaCenterScraper,https://www.fremont.gov/government/agenda-center,test_file
CityOfNoviScraper,https://cityofnovi.org/agendas-minutes/city-council/2025/,test_file
CityOfPerkinsScraper,https://www.cityofperkins.net/1069/Audio-Recordings-Planning-CommissionFloo,test_file
EvanstonPlanningScraper,https://www.cityofevanston.org/government/boards-commissions-and-committees/planning-development,test_file
KaneCountyCommitteeScraper,https://www.kanecountyil.gov/Pages/CountyBoard/committee.aspx?cID=2,test_file
NorthamptonBoroScraper,https://www.northamptonboro.com/zoning-hearing-board,test_file
DocumentCenterAgendaMinutesScraper,https://dickensonva.org/DocumentCenter/Index/38,test_file
CastusVodScraper,https://wayland.vod.castus.tv/vod/,docstring
CityOfHillsboroScraper,https://www.guadalupeaz.org/node/951/agenda/2026,test_file
ECode360Scraper,https://ecode360.com/HA1391/documents/Minutes,test_file
NyisoScraper,https://www.nyiso.com/bod-meeting-minutes,test_file
